Timestamp,Age,Gender,Trans,Race,Sexuality,Have you ever used drugs and/or alcoholic substances?,"Have you ever experienced dating violence, whether it be physical, verbal, and/or emotional?",Have you watched the show Euphoria?,How much of the show did you watch? ,I enjoyed watching the show. ,I believe the TV show depicted teenage life accurately. ,The show made substances look fun. ,The show made substances look desirable. ,The cinematography of the show influenced how I perceived drugs.,The show's narrative made me change how I experience and/or perceive substance abuse.,"After watching the show, I felt more inclined to experiment with the usage of substances. ",I believe the show depicted substance abuse accurately. ,The show was educational in regards to substance abuse and helped me understand the topic better. ,I believe the show would make others more likely to reach out for help if they are struggling with substance use.  ,The show portrayed substance abuse treatments in a positive light. ,The show positively affected how I viewed romantic relationships.,I have more positive views of sex after watching the show. ,"Overall, I believe that Nate and Maddy's relationship showcases signs of an unhealthy relationship.",I think Nate and Maddy’s relationship is desirable despite its pitfalls. ,The attractiveness of the actors who play Nate and Maddy influenced how I saw their relationship. ,I believe Euphoria is informative of the signs of teen dating violence.,I believe Euphoria depicts teen dating violence accurately. ,I believe that the show would make others more likely to reach out for help if they are struggling with teen dating violence. ,"Do you have any thoughts on what could’ve been done differently surrounding substance use and dating violence? Alternatively, if you felt these topics were tackled well, how and why?",Do you think Euphoria romanticizes/glamorizes substance abuse and dating violence? Why or why not?,It is acceptable to use substances. ,I have thought about using substances. ,Using substances is fun or desirable. ,I am aware of resources available to those struggling with addiction. ,I am knowledgeable about the danger of lacing drugs. ,I am knowledgeable about drug harm reduction methods such as narcan and test strips. ,I believe substance abuse is common among teens.,I am knowledgeable about consent in romantic relationships. ,I am aware of resources available to those facing teen dating violence. ,I am knowledgeable about healthy attachment in relationships., I am more inclined to overlook dating violence if the other party’s physical appearance is attractive. , I am aware of the signs of an abusive relationship. ,Dating violence is only physical.,Do you have any additional thoughts about the questions that were previously asked? Remember that all answers are anonymous.
7/24/2022 19:34:15,18,Female,No,White/Caucasian,Queer,No,No,Yes,All of Season 1 and 2,4,2,1,1,4,5,1,3,3,3,3,2,2,5,1,1,2,2,3,,,2,1,1,3,5,5,4,5,5,5,1,5,1,
7/24/2022 19:44:22,18,Non-binary,Yes,Latine/Hispanic,Homosexual/Gay/Lesbian,Yes,No,Yes,All of Season 1 and 2,4,2,2,2,2,3,1,3,3,2,1,1,2,5,1,1,1,2,1,,"yes, maybe not the show itself but the way it was received by young and impressionable teenagers certainly demonstrated that. on tiktok especially there was a plethora of teenagers talking about drugs that they’ve most likely never tried as if they knew exactly what taking that drug was like, and a majority of them also took nate’s side on the debates with whether maddy and nates relationship was healthy.  ",4,3,3,2,3,1,3,5,5,5,1,5,1,
7/24/2022 19:48:23,17,Female,No,Latine/Hispanic,Pansexual,Yes,No,Yes,All of Season 1 and 2,5,4,2,1,1,5,1,3,5,5,5,5,5,5,1,4,5,5,5,,,1,4,2,5,5,3,4,5,5,3,4,5,1,
7/24/2022 19:58:46,18,Female,No,White/Caucasian,Heterosexual/Straight,No,No,Yes,All of Season 1 and 2,4,4,1,1,2,2,1,4,3,3,1,1,1,5,1,2,5,5,4,,,2,2,1,5,5,5,5,2,5,4,2,5,1,
7/24/2022 20:06:11,18,Female,No,White/Caucasian,Bisexual,Yes,No,Yes,All of Season 1 and 2,4,2,4,4,1,1,2,3,4,3,3,3,3,5,1,2,4,3,3,,"It’s complicated— I see both sides to it. It does depict drug use in a way that seems exciting and desirable (though it’s fair to debate that maybe it’s necessary as an artistic choice just to represent what ppl experience during good highs? idk), but it also depicts the really scary and miserable aspects as well that definitely put me off of wanting to even try harder stuff. As for dating violence, I can’t say for sure because I haven’t experienced it but I don’t think the show glamorized it at all, just depicted it— didn’t seem like an endorsement of it at all to me. There are very fine lines to walk when it comes to art that depicts heavy subjects, especially when it attempts to represent these experiences from the very subjective and personal POV of the people who are engaging in these behaviors who may be enjoying them in the moment despite their later consequences. It seemed balanced in showing different sides to addiction, but the lines are kind of blurry. It also depends on the media literacy and maturity of its viewers in how we interpret these depictions, which seems to be highly varied.",4,4,3,5,4,4,5,5,4,5,1,4,1,
7/24/2022 20:09:43,17,Female,No,Biracial and/or Multiracial,Homosexual/Gay/Lesbian,No,No,Yes,All of Season 1 and 2,3,2,2,1,3,3,3,5,4,2,4,1,1,5,1,3,4,3,2,,,2,1,2,4,5,5,5,5,3,3,1,4,1,
7/24/2022 20:12:56,18,Female,No,Asian and/or Asian American,Pansexual,Yes,Yes,Yes,All of Season 1 and 2,4,2,4,2,2,3,3,5,3,3,1,3,3,5,1,4,3,4,4,,,4,5,4,4,5,4,4,5,5,4,2,5,1,
7/24/2022 20:13:19,17,Female,No,Biracial and/or Multiracial,Bisexual,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,3,1,4,5,4,4,1,4,1,
7/24/2022 21:49:42,18,Male,No,Biracial and/or Multiracial,Heterosexual/Straight,No,No,Yes,All of Season 1 and 2,4,1,1,1,2,1,1,3,2,2,2,1,2,4,2,4,2,2,1,,,3,2,1,5,5,4,3,4,2,4,2,4,1,
7/24/2022 22:29:36,18,Female,No,Latine/Hispanic,Heterosexual/Straight,Yes,No,Yes,All of Season 1 and 2,4,2,4,5,1,2,3,1,1,1,1,1,1,5,1,4,5,3,4,They could’ve showed the negative effects of drugs instead of making them seem extremely desirable for teens who know nothing about the harsh reality of drugs. ,yes because they just show every kid using these drugs and then the scene after is them smiling and looking euphoric and they also make addiction seem like it’s okay to fall into. in reality addiction has a lot of physical and mental affects the show doesn’t shine light on. I also believe it somewhat glamorized dating violence because maddy did not want nate to get in trouble even though he physically hurt her. in my opinion it gives kids the okay to protect their abusers out of “love”,3,1,1,2,4,1,5,5,1,1,3,3,1,The show was entertaining but the entire time I was thinking about how much they were glamorizing drugs. 
7/24/2022 23:08:21,17,Female,No,Latine/Hispanic,Heterosexual/Straight,No,No,Yes,All of Season 1 and 2,3,2,2,2,2,2,1,3,3,3,3,2,2,5,1,5,3,3,4,,,3,5,4,5,5,5,3,5,5,5,3,2,1,
7/25/2022 0:05:34,17,Non-binary,Not sure,Biracial and/or Multiracial,Bisexual,Yes,Yes,Yes,All of Season 1 and 2,5,4,1,1,3,3,1,3,4,3,3,3,4,5,1,4,5,4,4,i feel like with nate and maddy it should have highlighted the emotional abuse more because there can be emotional abuse without physical abuse but there can’t be physical abuse without emotional. I feel like cinematically the substance abuse plot line had so many holes and they couldn’t keep the storyline straight.,"People think that the second you don’t show someone throwing up and dying your  romanticizing drugs, i would even go as far to say that in season one when maddy and cassie had so much fun on molly was productive, it showed that even the times on drugs that you have a good time bad things can come from it like the carousel scene and how nate blamed the abuse on maddy being high. But I found rue’s storyline very relatable as a recovering addict and it showed a very realistic way that she got hooked on drugs and I do wish they showed more of how her being bipolar caused her to end up being an addict and how bipolar disorder and substance abuse are connected. ",2,5,3,1,5,4,5,5,1,2,2,5,1,
7/25/2022 1:34:39,18,Male,No,Asian and/or Asian American,Heterosexual/Straight,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,2,2,1,4,5,4,3,5,5,4,3,5,1,I think these surveys are very important. Thank you for this. 
7/25/2022 1:41:04,17,Female,No,Biracial and/or Multiracial,Pansexual,Yes,No,Yes,All of Season 1 and 2,3,2,2,3,4,4,2,3,2,2,3,2,2,5,1,1,3,2,3,,,4,4,3,3,5,5,5,5,3,3,2,3,1,
7/25/2022 7:53:32,18,Female,No,White/Caucasian,Bisexual,Yes,No,Yes,All of Season 1 and 2,4,3,3,2,1,2,2,4,2,2,2,1,2,5,1,2,1,2,1,,"With Rue it does not glamorize substance use but with other characters like Jules, Maddy and Cassie it certainly makes it glamorized ",2,5,2,5,5,5,4,5,5,5,5,5,1,
